aX,aY,aZ,gX,gY,gZ
1.101,2.068,0.417,2.930,-150.513,45.410
0.463,2.391,-0.014,113.098,-137.390,-39.490
0.455,1.957,-0.108,126.221,-152.100,-180.237
0.946,1.429,-0.219,97.412,-162.781,-293.091
1.241,0.922,0.072,38.940,-185.913,-357.361
1.220,0.216,0.256,-9.460,-176.025,-392.578
1.115,-0.047,0.248,-138.611,-127.930,-358.704
0.949,0.083,0.364,-185.364,-100.037,-292.725
0.361,-0.142,0.578,-164.246,-73.547,-226.013
0.391,-0.413,0.669,-93.994,-44.312,-206.299
0.175,-0.268,0.833,-110.474,-8.789,-208.435
0.248,-0.231,0.877,-86.914,24.414,-158.752
0.769,-0.161,0.974,-71.106,52.490,-14.038
1.103,-0.090,1.076,-110.779,105.896,41.443
1.142,-0.077,1.076,-103.394,186.829,78.308
0.667,-0.050,0.920,9.521,275.024,118.469
-0.318,0.463,0.472,161.865,360.596,242.432
-0.779,0.637,0.177,203.918,376.953,364.563
0.031,1.340,0.090,13.245,369.446,371.826
0.333,1.762,-0.152,1.526,377.319,234.619
0.134,1.890,-0.303,58.350,385.620,155.457
0.147,1.777,-0.307,61.462,377.869,61.951
0.537,1.799,-0.189,39.490,375.671,-21.729
0.460,1.422,-0.127,108.459,388.000,-112.732
0.318,1.011,0.095,96.069,413.574,-189.392
-0.027,0.459,0.067,129.883,482.910,-245.422
-0.689,-0.106,-0.314,308.411,596.252,-261.047
-0.868,-0.233,-0.579,359.924,640.991,-189.270
-0.740,-0.134,-0.720,296.692,670.105,-116.760
-1.128,-0.035,-0.921,310.913,716.064,-44.556
-1.384,0.090,-1.120,355.530,722.961,40.344
-1.374,0.328,-1.379,314.819,716.309,112.305
-1.321,0.587,-1.793,347.351,701.111,194.031
-1.247,0.885,-2.094,314.453,625.122,243.958
-1.198,1.213,-2.239,197.144,523.193,267.212
-1.027,1.509,-2.411,139.648,423.462,273.010
-0.896,1.756,-2.528,102.417,309.265,253.235
-0.733,1.957,-2.579,64.453,182.739,215.637
-0.664,2.068,-2.528,36.560,45.349,162.415
-0.689,2.070,-2.372,12.268,-92.529,97.351
-0.784,1.935,-2.065,-8.179,-222.717,28.687
-0.863,1.702,-1.734,-13.428,-341.797,-32.593
-0.964,1.441,-1.364,-12.085,-438.965,-83.130
-1.030,1.183,-1.021,-11.475,-504.395,-119.446
-1.015,0.954,-0.712,-6.714,-547.302,-139.893
-0.946,0.760,-0.445,-6.165,-566.711,-147.583
-0.841,0.602,-0.211,-10.986,-580.322,-142.212
-0.760,0.467,-0.006,-21.667,-587.402,-127.563
-0.725,0.357,0.175,-40.771,-588.013,-103.333
-0.631,0.320,0.354,-71.045,-579.773,-67.810
-0.543,0.327,0.486,-92.834,-560.120,-21.790
-0.468,0.388,0.600,-113.037,-534.729,25.330
-0.428,0.484,0.681,-130.310,-505.859,71.228
-0.488,0.609,0.730,-137.878,-475.098,112.061
-0.411,0.793,0.697,-130.066,-436.340,147.217
-0.485,0.954,0.655,-111.572,-405.823,175.598
-0.489,1.141,0.693,-130.127,-387.268,192.749
-0.514,1.262,0.662,-117.554,-373.657,195.618
-0.548,1.383,0.681,-126.160,-369.751,192.139
-0.600,1.491,0.710,-153.137,-370.850,185.852
-0.583,1.604,0.738,-168.884,-370.239,178.040
-0.564,1.685,0.761,-179.199,-364.014,162.354
-0.550,1.753,0.790,-183.777,-354.004,139.954
-0.508,1.808,0.820,-188.660,-336.792,113.770
-0.425,1.861,0.859,-178.772,-310.486,82.642
-0.315,1.886,0.906,-158.325,-272.827,42.725
-0.203,1.874,0.957,-128.601,-223.511,-5.737
-0.099,1.771,0.879,-60.791,-157.898,-58.838
0.042,1.670,0.873,-24.658,-94.543,-109.009
0.140,1.522,0.892,6.287,-33.203,-158.020
0.162,1.296,0.818,57.190,34.180,-206.482
0.136,1.028,0.696,100.708,101.746,-246.155
0.116,0.777,0.591,112.915,157.288,-271.790
0.095,0.556,0.493,121.765,205.933,-281.738
0.072,0.376,0.372,134.399,250.549,-275.208
0.065,0.247,0.248,141.174,289.185,-255.432
0.035,0.190,0.148,137.268,321.655,-226.990
0.046,0.172,0.009,144.409,348.022,-192.505
0.019,0.203,-0.110,132.812,369.690,-156.433
0.021,0.265,-0.215,107.910,386.353,-125.183
0.038,0.350,-0.331,96.802,407.043,-99.976
0.025,0.430,-0.480,102.783,433.289,-81.482
-0.027,0.484,-0.631,110.657,457.336,-71.533
-0.075,0.512,-0.788,118.774,474.365,-66.284
-0.114,0.525,-0.938,119.019,482.971,-62.378
-0.173,0.532,-1.073,111.145,484.375,-58.838
-0.132,0.548,-1.217,101.135,479.858,-55.542
-0.198,0.533,-1.333,87.585,467.041,-54.260
-0.267,0.514,-1.421,69.519,450.989,-52.307
-0.328,0.502,-1.508,58.960,435.547,-48.889
-0.435,0.519,-1.617,60.059,426.147,-40.710
-0.503,0.580,-1.758,72.510,422.180,-27.649
-0.508,0.668,-1.909,83.435,413.330,-14.587
-0.507,0.753,-2.027,82.703,387.634,-6.531
-0.505,0.819,-2.111,75.378,349.121,-3.723
-0.499,0.867,-2.163,63.904,301.208,-3.418
-0.485,0.897,-2.180,51.392,246.765,-3.601
-0.447,0.912,-2.179,36.194,190.247,-2.808
-0.396,0.904,-2.150,16.602,131.226,-1.709
-0.359,0.883,-2.082,0.854,72.754,2.380
-0.286,0.854,-1.982,-18.250,16.479,10.681
-0.242,0.823,-1.840,-42.786,-39.001,22.461
-0.245,0.816,-1.673,-71.350,-94.543,40.649
-0.255,0.853,-1.501,-99.915,-140.625,64.880
-0.266,0.917,-1.345,-123.474,-173.889,90.271
-0.259,1.007,-1.209,-142.700,-194.641,112.061
-0.240,1.106,-1.107,-149.109,-201.294,126.770
-0.218,1.203,-1.025,-145.508,-199.280,132.690
-0.201,1.272,-0.989,-130.798,-191.284,129.211
-0.182,1.342,-0.951,-117.126,-182.068,119.019
-0.177,1.387,-0.927,-106.018,-172.424,100.769
-0.179,1.416,-0.902,-92.896,-162.659,76.416
-0.197,1.422,-0.881,-80.078,-152.954,47.852
-0.202,1.417,-0.875,-62.439,-142.334,17.517
-0.202,1.385,-0.872,-42.664,-131.958,-14.771
-0.200,1.316,-0.872,-21.240,-124.451,-49.133
-0.189,1.220,-0.873,0.061,-120.728,-83.984
-0.164,1.104,-0.866,19.104,-121.704,-117.126
-0.135,0.975,-0.836,32.654,-129.211,-147.644

-2.525,0.170,-1.011,369.446,908.142,-70.496
-3.139,0.321,-1.383,408.325,980.469,5.432
-3.494,0.550,-1.690,370.544,1018.860,89.844
-3.702,0.823,-1.896,301.086,1002.136,161.804
-3.753,1.141,-2.143,256.348,959.167,206.909
-3.643,1.451,-2.543,253.845,907.410,231.812
-3.213,1.791,-2.888,206.360,806.458,234.253
-2.709,2.049,-3.169,151.123,675.293,201.416
-2.360,2.203,-3.343,109.009,517.212,138.672
-2.093,2.244,-3.441,85.144,345.520,57.678
-1.918,2.159,-3.402,67.322,163.269,-32.898
-1.933,1.862,-3.175,56.091,-21.484,-126.526
-2.071,1.464,-2.753,34.302,-193.787,-208.740
-2.285,1.053,-2.295,11.658,-344.177,-267.090
-2.415,0.710,-1.839,-1.892,-461.487,-296.875
-2.376,0.440,-1.474,-8.362,-553.223,-303.040
-2.277,0.229,-1.127,-9.277,-608.215,-296.753
-2.085,0.061,-0.898,-1.587,-636.292,-283.325
-1.903,-0.058,-0.671,-11.292,-656.921,-258.057
-1.749,-0.142,-0.465,-27.771,-668.335,-220.276
-1.636,-0.182,-0.285,-41.016,-674.377,-175.232
-1.514,-0.152,-0.119,-53.833,-669.800,-123.840
-1.309,-0.094,-0.001,-46.387,-651.550,-65.796
-1.093,-0.024,0.086,-26.428,-628.784,-18.677
-0.895,0.030,0.159,-7.202,-607.544,13.550
-0.798,0.053,0.225,10.498,-589.844,37.476
-0.690,0.089,0.294,17.639,-575.073,61.218
-0.650,0.119,0.351,16.479,-563.416,86.792
-0.634,0.180,0.414,-4.211,-556.458,118.713
-0.655,0.250,0.471,-38.574,-551.270,156.494
-0.643,0.350,0.548,-80.688,-544.922,197.144
-0.656,0.471,0.611,-111.938,-534.607,237.427
-0.692,0.597,0.652,-128.357,-519.958,273.804
-0.767,0.735,0.680,-142.639,-501.343,308.716
-0.830,0.888,0.690,-151.123,-479.431,340.332
-0.926,1.068,0.702,-158.691,-456.299,368.164
-0.990,1.255,0.664,-143.127,-425.476,387.207
-0.994,1.436,0.582,-115.051,-392.151,397.217
-0.991,1.652,0.585,-134.399,-365.967,391.113
-0.948,1.879,0.605,-168.152,-338.318,379.211
-0.875,2.110,0.645,-198.669,-304.138,352.600
-0.801,2.279,0.650,-203.857,-258.972,307.007
-0.713,2.401,0.635,-180.176,-211.548,248.413
-0.623,2.478,0.634,-170.288,-164.001,178.528
-0.576,2.490,0.630,-153.931,-116.272,100.342
-0.536,2.443,0.633,-132.874,-68.176,18.188
-0.526,2.315,0.638,-111.511,-18.555,-65.002
-0.570,2.102,0.646,-85.449,30.884,-145.203
-0.623,1.821,0.608,-59.509,81.177,-218.994
-0.635,1.536,0.555,-47.302,129.150,-280.884
-0.713,1.253,0.484,-38.757,178.650,-328.979
-0.735,1.013,0.391,-29.480,230.713,-362.915
-0.744,0.844,0.300,-13.123,290.649,-383.362
-0.739,0.728,0.126,39.795,373.413,-393.188
-0.828,0.653,-0.109,109.558,469.910,-392.395
-0.923,0.606,-0.361,152.466,556.946,-384.888
-1.010,0.581,-0.584,162.476,622.803,-374.817
-1.088,0.552,-0.789,163.879,668.640,-364.807
-1.209,0.508,-0.968,165.833,699.829,-355.713
-1.368,0.450,-1.131,170.044,718.750,-343.994
-1.536,0.398,-1.271,171.143,731.262,-325.012
-1.645,0.373,-1.433,167.725,734.497,-295.410
-1.647,0.392,-1.581,149.719,724.548,-261.353
-1.560,0.416,-1.826,160.461,707.397,-224.548
-1.438,0.472,-2.030,144.226,667.603,-181.702
-1.275,0.554,-2.216,113.525,613.159,-142.822
-1.094,0.637,-2.396,102.112,545.837,-111.023
-0.915,0.723,-2.533,81.421,461.914,-84.717
-0.805,0.800,-2.637,61.340,361.328,-61.829
-0.741,0.877,-2.682,28.198,252.502,-40.894
-0.688,0.955,-2.669,-8.911,138.611,-23.071
-0.624,1.021,-2.590,-41.077,23.987,-10.620
-0.591,1.058,-2.388,-70.129,-88.013,-5.493
-0.604,1.032,-2.096,-93.018,-192.627,-5.920
-0.690,0.972,-1.815,-104.736,-287.354,-5.981
-0.807,0.923,-1.531,-121.094,-357.849,-1.038
-0.821,0.910,-1.303,-134.277,-400.635,10.437
-0.820,0.906,-1.121,-137.451,-427.124,22.522
-0.812,0.908,-0.973,-135.254,-442.383,32.349
-0.743,0.936,-0.839,-134.399,-449.097,40.833
-0.621,0.957,-0.735,-120.483,-445.068,42.114
-0.504,0.959,-0.639,-98.572,-441.284,34.363
-0.445,0.930,-0.536,-80.811,-440.735,20.752
-0.394,0.889,-0.430,-65.491,-439.209,5.920
-0.312,0.846,-0.342,-50.049,-432.678,-7.263
-0.257,0.788,-0.266,-37.476,-426.819,-20.508
-0.250,0.725,-0.182,-38.940,-425.049,-31.189
-0.208,0.680,-0.098,-51.025,-421.997,-35.156
-0.118,0.648,-0.030,-58.960,-415.771,-35.583
-0.059,0.611,0.045,-67.932,-412.537,-36.743
-0.017,0.570,0.130,-78.308,-412.537,-38.330
0.037,0.532,0.223,-88.318,-412.659,-38.391
0.082,0.500,0.325,-96.436,-410.645,-37.170
0.100,0.458,0.417,-94.421,-402.283,-35.828
0.147,0.416,0.488,-82.520,-385.986,-34.363
0.197,0.372,0.544,-72.266,-366.516,-31.494
0.238,0.332,0.595,-71.838,-347.778,-26.733
0.267,0.309,0.668,-87.524,-332.092,-18.738
0.270,0.302,0.757,-114.319,-313.843,-6.775
0.307,0.313,0.805,-120.972,-286.743,9.277
0.346,0.355,0.858,-131.592,-256.531,28.259
0.409,0.419,0.908,-146.973,-224.121,45.532
0.461,0.484,0.944,-155.396,-188.293,58.350
0.492,0.550,0.971,-160.828,-150.208,65.979
0.500,0.618,0.996,-164.734,-111.755,68.787
0.482,0.666,1.009,-168.091,-73.914,65.308
