aX,aY,aZ,gX,gY,gZ
0.378,0.652,-1.005,27.954,-58.472,62.256
0.306,0.583,-0.608,-29.114,-67.261,19.897
0.390,0.518,-0.542,-52.063,-47.546,10.559
0.384,0.468,-0.669,-28.259,-20.569,3.723
0.374,0.409,-0.831,-27.832,-5.737,-0.793
0.378,0.400,-0.908,-27.222,-4.272,-1.343
0.403,0.417,-0.916,-22.888,-8.850,0.549
0.391,0.420,-0.874,-23.193,-14.099,0.671
0.380,0.430,-0.805,-22.827,-16.968,0.671
0.406,0.440,-0.753,-19.653,-16.113,-0.366
0.422,0.435,-0.794,-22.339,-11.047,-2.319
0.403,0.412,-0.817,-30.029,-9.521,-6.531
0.425,0.370,-0.808,-33.325,-12.878,-10.742
0.420,0.314,-0.798,-21.973,-12.695,-11.414
0.401,0.309,-0.814,-32.776,-12.207,-7.507
0.409,0.391,-0.818,-13.855,-10.376,-2.075
0.400,0.445,-0.791,20.081,-8.667,-1.953
0.414,0.450,-0.726,43.396,-5.432,-7.080
0.406,0.410,-0.701,67.627,1.892,-13.062
0.393,0.373,-0.733,97.107,12.390,-17.029
0.409,0.426,-0.725,113.647,20.264,-15.991
0.411,0.410,-0.758,127.625,27.649,-16.541
0.389,0.343,-0.786,148.437,33.142,-17.944
0.396,0.390,-0.834,164.185,34.912,-10.010
0.408,0.463,-0.859,164.429,32.654,-1.892
0.387,0.494,-0.810,161.682,25.818,1.892
0.385,0.503,-0.726,165.161,19.653,2.869
0.376,0.535,-0.688,174.744,19.897,5.432
0.371,0.583,-0.677,187.378,22.461,9.033
0.368,0.638,-0.682,198.486,23.926,12.634
0.365,0.657,-0.674,215.881,25.146,13.855
0.359,0.692,-0.627,244.507,26.123,15.442
0.344,0.733,-0.587,256.714,27.283,17.212
0.338,0.776,-0.563,253.784,29.175,17.456
0.331,0.792,-0.541,235.474,30.212,15.259
0.326,0.819,-0.535,213.501,28.870,13.123
0.329,0.859,-0.511,177.551,24.292,11.414
0.330,0.871,-0.502,135.742,19.958,6.775
0.328,0.865,-0.524,99.304,17.151,1.648
0.330,0.829,-0.525,65.735,12.573,-2.319
0.328,0.808,-0.497,39.978,6.897,-3.845
0.339,0.821,-0.455,17.761,2.197,-3.601
0.337,0.841,-0.444,-5.066,0.549,-3.906
0.333,0.851,-0.451,-31.860,0.488,-5.798
